,A068270,A033180,A105560,A180640,A078130,A207940,A028300,A011000,A032500,A084990,A053800,A003000,A215600,A093370,A091990,A034730,A027740,A005930,A004370,A263540,A096530,A067630,A128940,A000660,A140410,A009150,A065950,A144510,A005690,A101490
201907,4.0,,,,4.0,,,,,,,,,1.5,,,,,,1.5,,,,,,4.0,,,,
201908,5.0,,,,,,,,2.0,,,,4.0,,2.0,,,,,,,,,,,,,,,2.0
201909,3.5,,,,,1.0,,,,5.0,,,3.5,,,,2.0,,,,,,,,,,,,,
201910,,1.0,,,,,5.0,,,4.0,,,2.5,,,,,,,,,2.5,,,,,,,,
201911,3.5,1.5,,,,,5.0,,,1.5,,,,,,,,,,,,,,,3.5,,,,,
201912,5.0,,,2.0,,,4.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,
202001,4.0,,,,,,,,,,2.0,,,,,,,5.0,,,,2.0,,,2.0,,,,,
202002,4.0,,,,,,,,,,,,,,2.5,,,5.0,1.0,,,,,,,,2.5,,,
202003,4.0,,,,,1.5,,,,,,,,,,,,5.0,,,3.0,,,1.5,,,,,,
202004,5.0,,,,,,,1.5,,,,,,,4.0,,,3.0,,,,,,,,,,1.5,,
202005,3.0,,,,,,,,,,,,,,5.0,,,2.0,,,1.0,,,,,,,,4.0,
202006,5.0,,1.0,,,,,,,,,2.0,,,3.0,4.0,,,,,,,,,,,,,,
